,feat,feattype,map_estimate,is_sturdy,Feature Type,symbol
8297,378949,gene,0.0,True,Gene,RBMY1D
8298,378950,gene,0.0,True,Gene,RBMY1E
8299,378951,gene,0.0,True,Gene,RBMY1J
8300,379,gene,0.0,True,Gene,ARL4D
8301,3790,gene,0.0,True,Gene,KCNS3
8302,3791,gene,0.0,True,Gene,KDR
8303,3792,gene,0.0,True,Gene,KEL
8304,3795,gene,0.0,True,Gene,KHK
8305,3796,gene,0.0,True,Gene,KIF2A
8306,3797,gene,0.0,True,Gene,KIF3C
8307,3798,gene,0.0,True,Gene,KIF5A
8308,3799,gene,0.0,True,Gene,KIF5B
8309,38,gene,0.0,True,Gene,ACAT1
8310,3800,gene,0.0,True,Gene,KIF5C
8311,3801,gene,0.0,True,Gene,KIFC3
8312,3802,gene,0.0,True,Gene,KIR2DL1
8313,3804,gene,0.0,True,Gene,KIR2DL3
8314,3805,gene,0.0,True,Gene,KIR2DL4
8315,3809,gene,0.0,True,Gene,KIR2DS4
8316,381,gene,0.0,True,Gene,ARF5
8317,3811,gene,0.0,True,Gene,KIR3DL1
8318,3812,gene,0.0,True,Gene,KIR3DL2
8319,3814,gene,0.0,True,Gene,KISS1
8320,3815,gene,0.0,True,Gene,KIT
8321,3816,gene,0.0,True,Gene,KLK1
8322,3817,gene,0.0,True,Gene,KLK2
8323,3818,gene,0.0,True,Gene,KLKB1
8324,382,gene,0.0,True,Gene,ARF6
8325,3820,gene,0.0,True,Gene,KLRB1
8326,3821,gene,0.0,True,Gene,KLRC1
8327,3822,gene,0.0,True,Gene,KLRC2
8328,3823,gene,0.0,True,Gene,KLRC3
8329,3824,gene,0.0,True,Gene,KLRD1
8330,3827,gene,0.0,True,Gene,KNG1
8331,383,gene,0.0,True,Gene,ARG1
8332,3831,gene,0.0,True,Gene,KLC1
8333,3832,gene,0.0,True,Gene,KIF11
8334,3833,gene,0.0,True,Gene,KIFC1
8335,3834,gene,0.0,True,Gene,KIF25
8336,3835,gene,0.0,True,Gene,KIF22
8337,3836,gene,0.0,True,Gene,KPNA1
8338,3837,gene,0.0,True,Gene,KPNB1
8339,3838,gene,0.0,True,Gene,KPNA2
8340,3839,gene,0.0,True,Gene,KPNA3
8341,384,gene,0.0,True,Gene,ARG2
8342,3840,gene,0.0,True,Gene,KPNA4
8343,3841,gene,0.0,True,Gene,KPNA5
8344,3842,gene,0.0,True,Gene,TNPO1
8345,3843,gene,0.0,True,Gene,IPO5
8346,3845,gene,0.0,True,Gene,KRAS
8347,3846,gene,0.0,True,Gene,KRTAP5-9
8348,3848,gene,0.0,True,Gene,KRT1
8349,3849,gene,0.0,True,Gene,KRT2
8350,3850,gene,0.0,True,Gene,KRT3
8351,3851,gene,0.0,True,Gene,KRT4
8352,3852,gene,0.0,True,Gene,KRT5
8353,3853,gene,0.0,True,Gene,KRT6A
8354,3854,gene,0.0,True,Gene,KRT6B
8355,3855,gene,0.0,True,Gene,KRT7
8356,3856,gene,0.0,True,Gene,KRT8
8357,3857,gene,0.0,True,Gene,KRT9
8358,3858,gene,0.0,True,Gene,KRT10
8359,3859,gene,0.0,True,Gene,KRT12
8360,3860,gene,0.0,True,Gene,KRT13
8361,3861,gene,0.0,True,Gene,KRT14
8362,3866,gene,0.0,True,Gene,KRT15
8363,386617,gene,0.0,True,Gene,KCTD8
8364,386618,gene,0.0,True,Gene,KCTD4
8365,386653,gene,0.0,True,Gene,IL31
8366,386672,gene,0.0,True,Gene,KRTAP10-4
8367,386674,gene,0.0,True,Gene,KRTAP10-6
8368,386675,gene,0.0,True,Gene,KRTAP10-7
8369,386676,gene,0.0,True,Gene,KRTAP10-9
8370,386677,gene,0.0,True,Gene,KRTAP10-1
8371,386678,gene,0.0,True,Gene,KRTAP10-11
8372,386679,gene,0.0,True,Gene,KRTAP10-2
8373,386680,gene,0.0,True,Gene,KRTAP10-5
8374,386681,gene,0.0,True,Gene,KRTAP10-8
8375,386682,gene,0.0,True,Gene,KRTAP10-3
8376,386683,gene,0.0,True,Gene,KRTAP12-3
8377,386684,gene,0.0,True,Gene,KRTAP12-4
8378,386685,gene,0.0,True,Gene,KRTAP10-12
8379,386746,gene,0.0,True,Gene,MRGPRG
8380,3868,gene,0.0,True,Gene,KRT16
8381,387,gene,0.0,True,Gene,RHOA
8382,387032,gene,0.0,True,Gene,ZKSCAN4
8383,387082,gene,0.0,True,Gene,SUMO4
8384,387103,gene,0.0,True,Gene,CENPW
8385,387104,gene,0.0,True,Gene,MTCL3
8386,387119,gene,0.0,True,Gene,CEP85L
8387,387129,gene,0.0,True,Gene,NPSR1
8388,3872,gene,0.0,True,Gene,KRT17
8389,387263,gene,0.0,True,Gene,C6orf120
8390,387264,gene,0.0,True,Gene,KRTAP5-1
8391,387266,gene,0.0,True,Gene,KRTAP5-3
8392,387267,gene,0.0,True,Gene,KRTAP5-4
